Latitude,Longitude,Average_dist_F,Average_popularity_F,Average_rating_F,Max_rating_F,Max_popularity_F,Min_rating_F,Min_popularity_F
53.462542,-2.216341,926.8,0.9354960688017337,8.059999999999999,8.6,0.9981631351210102,7.7,0.5496529939360402
53.481139,-2.236058,560.7,0.9882356105846457,9.259999999999996,9.5,0.9992083804077994,9.1,0.9637622681822723
53.46917,-2.225237,755.9,0.9862719328583616,8.09,8.7,0.9988087277981447,7.6,0.9564916649374006
53.46238,-2.211227,814.2,0.9475870973692098,6.8,8.6,0.99522722556547,5.9,0.7121194653877783
53.451169,-2.236843,852.0,0.9369601807659494,8.07,8.5,0.9984782458324687,7.8,0.5496529939360402
53.443651,-2.230244,697.1,0.9065304773542996,7.4,8.5,0.9983014764089676,6.6,0.30950788929622713
53.48161,-2.24203,499.8,0.9882356105846457,9.259999999999996,9.5,0.9992083804077994,9.1,0.9637622681822723
53.483443,-2.208112,627.2,0.9403987303344017,7.470000000000001,8.7,0.9998155449493902,6.6,0.5609892939214375
53.490164,-2.220615,877.8,0.902141215712496,8.63,9.4,0.9962417283438242,8.2,0.15667150861174517
53.491526,-2.197743,751.4,0.917946707861628,7.3,8.7,0.9998155449493902,5.8,0.3237339850745122
53.48581,-2.246643,712.0,0.9922797875692668,9.219999999999999,9.5,0.9992083804077994,9.0,0.9637622681822723
53.460644,-2.263375,754.0,0.9089891094663869,,7.5,0.9989854972216458,5.6,0.4201348058994874
53.488592,-2.223609,728.6,0.9883362922997702,8.879999999999999,9.4,0.9962417283438242,8.5,0.9678279649227979
53.4666,-2.283363,733.6,0.9924957536910226,8.12,8.9,0.9998616587120426,7.6,0.9726622243741978
53.471487,-2.249945,768.1,0.9934964223405809,8.97,9.5,0.9991238385096032,8.7,0.9749217987441685
53.453418,-2.282631,778.0,0.9823053807075388,8.09,8.9,0.997686626240268,7.6,0.9584130717145866
53.483357,-2.245202,547.7,0.990068632650081,9.209999999999997,9.5,0.9992083804077994,9.1,0.9637622681822723
53.450528,-2.238729,459.5,0.8821470567890988,,8.5,0.999308293560213,6.3,0.2688355506367542
53.47355,-2.251766,674.1,0.9943456841360969,9.040000000000001,9.5,0.9992083804077994,8.8,0.9749217987441685
53.483392,-2.265379,839.9,0.9787446296680578,8.03,9.0,0.9941512377702458,7.7,0.9413356082789576
53.479584,-2.239493,513.6,0.9880880465441578,9.239999999999998,9.5,0.9992083804077994,9.1,0.9637622681822723
53.457346,-2.274508,816.6,0.9807982292315142,7.390000000000001,8.0,0.997686626240268,6.9,0.9723394280356306
53.485024,-2.232242,467.8,0.9866907995357881,9.19,9.4,0.9980094225788353,9.0,0.9637622681822723
53.484768,-2.249015,680.9,0.9908594836795709,9.18,9.5,0.9992083804077994,9.0,0.9637622681822723
53.478737,-2.238676,558.3,0.9880880465441578,9.239999999999998,9.5,0.9992083804077994,9.1,0.9637622681822723
53.465319,-2.260495,804.1,0.9222629560458987,7.0200000000000005,8.8,0.9956883631919946,6.4,0.4201348058994874
53.48881,-2.257384,900.4,0.9830424323472673,8.32,9.3,0.9992083804077994,8.0,0.9431417306495123
53.46414,-2.248694,854.5,0.8955646245955439,7.790000000000001,8.5,0.9976097699691806,7.3,0.08652478999023926
53.447214,-2.236043,537.6,0.9035407684089984,,8.5,0.9984782458324687,6.3,0.2409367242320137
53.48476,-2.228411,582.0,0.9850898834090367,9.169999999999998,9.4,0.9980094225788353,9.0,0.9637622681822723
53.484874,-2.258995,844.2,0.9925649243350012,9.03,9.5,0.9992083804077994,8.7,0.9749217987441685
53.464,-2.23757,674.1,0.9838478860682637,8.22,8.7,0.9988087277981447,7.8,0.9564916649374006
53.454845,-2.275867,779.9,0.9819095709114386,7.659999999999999,8.4,0.997686626240268,7.0,0.9667519771275738
53.48266,-2.242656,513.4,0.9882356105846457,9.259999999999996,9.5,0.9992083804077994,9.1,0.9637622681822723
53.46151,-2.25816,781.3,0.7567721903268697,6.710000000000001,7.5,0.9904083373682876,6.2,0.08652478999023926
53.497903,-2.262201,664.5,0.7287611537663414,,7.5,0.9989163265776672,6.0,0.1276428950220193
53.457879,-2.272039,816.1,0.923305895644555,7.130000000000001,8.0,0.985412679747604,6.4,0.4201348058994874
53.465824,-2.26574,870.4,0.927448448656168,6.720000000000001,7.5,0.9956883631919946,6.2,0.4201348058994874
53.463306,-2.266374,858.5,0.9298087047412634,6.5,7.3,0.9989854972216458,5.6,0.4201348058994874
53.463155,-2.279695,782.9,0.9909255800727059,7.92,8.9,0.9998616587120426,7.3,0.9726622243741978
53.481674,-2.280488,746.1,0.8255385703196453,6.649999999999999,7.2,0.9992929223059955,6.3,0.18506221515144528
53.479787,-2.232037,603.9,0.9860113900993751,9.2,9.4,0.9989240122047759,9.1,0.9637622681822723
53.47591,-2.23808,734.2,0.990068632650081,9.209999999999997,9.5,0.9992083804077994,9.1,0.9637622681822723
53.475572,-2.251275,598.6,0.9936316893776949,9.14,9.5,0.9992083804077994,8.9,0.9749217987441685
53.479667,-2.287542,796.8,0.9739780037352149,7.150000000000001,7.9,0.9985858446119911,6.4,0.9538939229746451
53.440315,-2.219095,600.7,0.9744998578158984,7.709999999999999,8.4,0.9983014764089676,7.1,0.9432800719374698
53.480103,-2.239262,496.8,0.9880880465441578,9.239999999999998,9.5,0.9992083804077994,9.1,0.9637622681822723
53.501892,-2.258321,459.1,0.6824099052362177,,7.5,0.9989163265776672,6.6,0.027975682675827934
53.492034,-2.288782,398.6,0.8892362792342043,6.19,7.5,0.9991084672553857,5.6,0.19725161974591318
