Latitude,Longitude,Average_distance_Y,Average_review_count_Y,Average_rating_Y,Max_rating_Y,Max_review_count,Min_rating_Y,Min_review_count
53.462542,-2.216341,879.3359428410289,14.1,4.4350000000000005,5.0,78,4.0,1
53.481139,-2.236058,532.596302913699,17.2,4.724999999999999,4.9,70,4.5,5
53.46917,-2.225237,919.5788295153961,13.45,4.465,5.0,47,4.1,2
53.46238,-2.211227,1107.1317362981667,13.9,4.495,5.0,78,4.2,2
53.451169,-2.236843,901.3957489812431,13.7,4.52,5.0,78,4.1,1
53.443651,-2.230244,801.5639178241236,11.0,4.1549999999999985,5.0,30,3.6,1
53.48161,-2.24203,574.076455022054,12.9,4.769999999999998,5.0,60,4.6,4
53.483443,-2.208112,795.494328535709,3.6666666666666665,3.6555555555555563,5.0,20,1.0,1
53.490164,-2.220615,1113.2489862657833,19.8,4.51,4.9,68,4.3,5
53.491526,-2.197743,858.2559160521236,3.5,3.46,5.0,20,1.0,1
53.48581,-2.246643,722.7932252109738,17.8,4.724999999999999,5.0,70,4.5,4
53.460644,-2.263375,633.5719137384752,4.15,3.9800000000000004,5.0,18,2.7,1
53.488592,-2.223609,940.0792424201023,17.85,4.65,5.0,70,4.4,3
53.4666,-2.283363,739.7115741233516,6.5,4.279999999999999,5.0,36,3.5,1
53.471487,-2.249945,857.7828930824624,14.6,4.5950000000000015,5.0,43,4.4,4
53.453418,-2.282631,906.5454753391662,9.8,4.565,5.0,49,3.8,1
53.483357,-2.245202,593.8683124979104,14.7,4.744999999999998,5.0,60,4.6,4
53.450528,-2.238729,1026.2931879223136,13.65,4.4399999999999995,5.0,78,4.0,1
53.47355,-2.251766,782.5862999243961,15.8,4.630000000000001,5.0,43,4.4,4
53.483392,-2.265379,949.3130952846744,25.25,4.499999999999999,5.0,116,4.0,2
53.479584,-2.239493,606.0880505318023,13.9,4.749999999999998,5.0,60,4.6,4
53.457346,-2.274508,825.2761078142187,3.55,4.345,5.0,13,3.2,1
53.485024,-2.232242,557.0629447504325,17.0,4.705,4.9,70,4.5,4
53.484768,-2.249015,727.8396318638239,14.7,4.744999999999998,5.0,60,4.6,4
53.478737,-2.238676,659.9123989534721,13.9,4.749999999999998,5.0,60,4.6,4
53.465319,-2.260495,871.2942115986182,14.0,4.4350000000000005,5.0,72,3.8,1
53.48881,-2.257384,957.7002720366138,26.1,4.554999999999999,5.0,83,4.3,3
53.46414,-2.248694,900.0790159431517,15.25,4.610000000000001,5.0,77,4.1,1
53.447214,-2.236043,1134.9759749779234,12.25,4.51,5.0,78,4.0,1
53.48476,-2.228411,642.7005074684221,15.5,4.7,4.9,70,4.5,4
53.484874,-2.258995,805.7771823195767,20.1,4.640000000000002,5.0,73,4.4,3
53.464,-2.23757,947.3936414721895,16.05,4.429999999999999,5.0,78,4.2,2
53.454845,-2.275867,910.2666413238348,8.6,4.62,5.0,49,3.8,1
53.48266,-2.242656,581.6881344995162,12.9,4.769999999999998,5.0,60,4.6,4
53.46151,-2.25816,686.7478043262083,3.6,4.33,5.0,18,3.2,1
53.497903,-2.262201,768.5272409342247,1.3846153846153846,4.023076923076923,5.0,3,2.0,1
53.457879,-2.272039,641.7166260830461,3.5,3.825,5.0,13,2.5,1
53.465824,-2.26574,925.6979468405798,14.75,4.26,5.0,72,3.2,1
53.463306,-2.266374,615.0177780596146,3.75,3.8600000000000003,5.0,25,2.5,1
53.463155,-2.279695,886.7556878567997,4.5,4.365,5.0,10,3.1,1
53.481674,-2.280488,898.8775857120094,2.75,3.6100000000000003,5.0,9,1.7,1
