Average_rating_F,Average_dist_F,Average_rating_Y,Average_distance_Y,Free Bikes
7.92,733.8,3.875,715.1642214709543,0
7.12,706.9,4.17,898.4710172006032,0
6.99,836.6,3.261111111111111,1014.43138838642,3
8.63,680.5,4.479999999999999,728.901064534372,0
7.77,924.1,4.44,847.6269456088418,7
8.47,730.6,4.365,760.4876188157699,13
8.84,861.7,4.5550000000000015,760.0244344691193,0
6.660000000000001,763.2,3.785,533.4420966826353,0
8.58,889.5,4.635,906.94721102417,7
7.130000000000001,757.8,4.465000000000001,861.2784547106605,3
7.92,638.3,4.315,803.4266881887088,4
8.57,843.0,4.404999999999999,916.970482395078,9
7.44,413.4,4.185,548.5623792135369,3
8.18,498.7,4.59,562.7653409192282,2
,513.7,4.015,791.0300916894191,5
9.080000000000002,665.2,4.675,728.7588610316012,0
7.659999999999999,689.1,3.98,911.8156675004566,0
7.1,829.1,3.506666666666667,786.5776260790589,0
7.330000000000001,378.8,4.380000000000001,632.495102143676,2
8.1,820.0,4.414999999999999,926.2605375175624,0
7.6,809.9,3.9499999999999993,827.4965665094129,0
7.12,701.0,4.365,968.7833752360806,0
7.69,845.1,3.98,706.9315143443032,3
9.23,642.3,4.744999999999998,664.9537714368372,0
8.16,387.9,4.08,624.4405444578617,4
9.259999999999996,541.3,4.724999999999999,483.4484382310243,1
6.790000000000001,879.8,4.03,683.3936395157712,3
7.639999999999998,833.0,4.57,1032.5087716353962,0
9.18,538.7,4.725,635.7121795654521,0
8.14,588.4,4.525,556.1599947456332,5
7.859999999999999,677.8,4.7,1070.040801386011,0
9.179999999999998,572.9,4.69,689.8287385203761,7
,535.6,4.329999999999999,1226.8321118031422,2
8.25,909.8,4.515000000000001,911.2023819415735,6
8.51,800.4,4.399999999999999,785.3849142549686,0
,787.2,4.415,904.4393701568227,0
8.6,561.9,4.43,576.475202302481,0
9.179999999999998,725.9,4.714999999999999,831.599175585496,7
,685.6,4.404999999999999,668.6449594742986,0
8.1,667.3,4.525,689.4392886870235,6
9.239999999999998,561.1,4.749999999999998,665.2622529130958,2
8.4,733.6,4.555,920.5626931196796,0
,751.5,3.3,875.203641796909,0
6.98,728.2,4.17,924.8532819945356,0
